date,location,Dnt_item_name,quantity_sold,sale_price,Donut_Sales,Drink_Item,Drink_Units_Sold,Drink_Price,Drink_Sales,Total_Sales,promotion,Customer_Rating,Payment_Method,time_of_day,quantity_made,waste
3/28/2024,Miami,Vanilla Frosted,97,3.44,333.68,Hot Chocolate,24,2.25,54,387.68,No,4.7,Cash,Afternoon,116,19
1/30/2024,Boston,Powdered Sugar,12,2.02,24.24,Espresso,40,2.75,110,134.24,No,3.6,Mobile Payment,Afternoon,14,2
2/7/2024,Boston,Jelly,41,3.18,130.38,Hot Coffee,30,2,60,190.38,No,4.7,Credit Card,Morning,49,8
1/2/2024,Miami,Strawberry Frosted,22,2.96,65.12,Hot Chocolate,20,2.25,45,110.12,No,3.2,Mobile Payment,Morning,27,5
3/4/2024,Los Angeles,Jelly,98,2.42,237.16,Espresso,19,2.75,52.25,289.41,Yes,4.4,Cash,Evening,110,12
2/29/2024,Boston,Jelly,82,2.85,233.7,Smoothie,38,3.75,142.5,376.2,Yes,4.1,Credit Card,Morning,99,17
1/21/2024,Los Angeles,Jelly,77,3.2,246.4,Cappuccino,21,3.25,68.25,314.65,Yes,3.2,Mobile Payment,Evening,90,13
2/2/2024,Boston,Strawberry Frosted,23,2.01,46.23,Espresso,3,2.75,8.25,54.48,No,3.5,Cash,Evening,27,4
3/16/2024,Boston,Cinnamon,20,1.82,36.4,Iced Coffee,12,2.5,30,66.4,Yes,3,Cash,Evening,25,5
2/27/2024,Chicago,Boston Kreme,65,2.67,173.55,Hot Chocolate,44,2.25,99,272.55,No,3.9,Mobile Payment,Afternoon,74,9
1/22/2024,Boston,Powdered Sugar,76,3.02,229.52,Espresso,41,2.75,112.75,342.27,No,3.6,Mobile Payment,Afternoon,91,15
3/29/2024,New York,Cinnamon,38,2.91,110.58,Latte,49,3.5,171.5,282.08,Yes,4.2,Mobile Payment,Morning,48,10
2/18/2024,Miami,Powdered Sugar,18,2.99,53.82,Cappuccino,48,3.25,156,209.82,Yes,3.6,Cash,Evening,19,1
3/31/2024,Miami,Chocolate Frosted,76,2.09,158.84,Iced Tea,19,2,38,196.84,Yes,3.6,Mobile Payment,Afternoon,92,16
2/28/2024,Los Angeles,Vanilla Frosted,34,3.04,103.36,Hot Chocolate,12,2.25,27,130.36,No,4.5,Cash,Afternoon,38,4
2/11/2024,Boston,Vanilla Frosted,85,1.3,110.5,Iced Coffee,16,2.5,40,150.5,No,3.1,Mobile Payment,Afternoon,94,9
4/1/2024,New York,Blueberry Cake,51,2.36,120.36,Iced Tea,35,2,70,190.36,Yes,4.8,Cash,Afternoon,65,14
2/29/2024,Los Angeles,Vanilla Frosted,18,1.01,18.18,Espresso,32,2.75,88,106.18,Yes,4.7,Cash,Afternoon,23,5
3/20/2024,Chicago,Strawberry Frosted,88,1.81,159.28,Iced Tea,0,2,0,159.28,No,4.3,Credit Card,Evening,111,23
1/15/2024,Los Angeles,Old Fashioned,49,1.92,94.08,Iced Tea,14,2,28,122.08,Yes,4.2,Mobile Payment,Evening,56,7
3/2/2024,Los Angeles,Glazed,34,1.99,67.66,Cappuccino,12,3.25,39,106.66,No,4.8,Mobile Payment,Evening,38,4
3/2/2024,Boston,Blueberry Cake,14,2.74,38.36,Smoothie,16,3.75,60,98.36,No,3.4,Cash,Evening,17,3
2/16/2024,Chicago,Glazed,20,1.97,39.4,Iced Tea,23,2,46,85.4,Yes,3.2,Cash,Morning,24,4
3/2/2024,Los Angeles,Powdered Sugar,68,2.12,144.16,Iced Tea,7,2,14,158.16,Yes,3.5,Cash,Evening,76,8
2/20/2024,New York,Glazed,97,1.59,154.23,Hot Chocolate,49,2.25,110.25,264.48,Yes,4.6,Credit Card,Afternoon,116,19
2/24/2024,New York,Glazed,88,1.93,169.84,Smoothie,26,3.75,97.5,267.34,Yes,3.1,Credit Card,Evening,97,9
3/4/2024,Miami,Blueberry Cake,47,1.57,73.79,Cappuccino,44,3.25,143,216.79,No,4.2,Cash,Morning,62,15
1/3/2024,Chicago,Chocolate Frosted,81,1.18,95.58,Iced Coffee,22,2.5,55,150.58,No,5,Mobile Payment,Afternoon,93,12
2/20/2024,Chicago,Jelly,14,2.51,35.14,Espresso,45,2.75,123.75,158.89,No,4.7,Mobile Payment,Evening,17,3
1/7/2024,Miami,Vanilla Frosted,57,2.67,152.19,Cappuccino,7,3.25,22.75,174.94,Yes,4,Credit Card,Evening,66,9
1/21/2024,Los Angeles,Vanilla Frosted,99,2.55,252.45,Cappuccino,7,3.25,22.75,275.2,No,3.1,Credit Card,Evening,119,20
3/13/2024,Chicago,Strawberry Frosted,27,2.16,58.32,Hot Coffee,25,2,50,108.32,Yes,4.7,Cash,Afternoon,32,5
2/8/2024,New York,Blueberry Cake,79,1.95,154.05,Cappuccino,46,3.25,149.5,303.55,Yes,4.2,Mobile Payment,Afternoon,89,10
1/18/2024,New York,Strawberry Frosted,46,3.16,145.36,Smoothie,12,3.75,45,190.36,Yes,3.2,Cash,Morning,61,15
1/4/2024,Boston,Old Fashioned,69,2.3,158.7,Hot Coffee,38,2,76,234.7,Yes,3.2,Credit Card,Afternoon,86,17
3/29/2024,Chicago,Old Fashioned,57,2.2,125.4,Espresso,36,2.75,99,224.4,Yes,4.8,Mobile Payment,Afternoon,73,16
2/29/2024,Los Angeles,Strawberry Frosted,86,1.06,91.16,Iced Tea,48,2,96,187.16,Yes,4.3,Mobile Payment,Evening,109,23
1/14/2024,Miami,Blueberry Cake,37,1.85,68.45,Hot Chocolate,27,2.25,60.75,129.2,No,4.7,Credit Card,Afternoon,45,8
1/9/2024,Miami,Strawberry Frosted,78,1.95,152.1,Hot Chocolate,24,2.25,54,206.1,Yes,4.8,Cash,Evening,100,22
3/30/2024,Los Angeles,Vanilla Frosted,86,2,172,Espresso,15,2.75,41.25,213.25,No,4.1,Cash,Evening,96,10
2/22/2024,Boston,Cinnamon,90,2.45,220.5,Espresso,1,2.75,2.75,223.25,No,4,Mobile Payment,Afternoon,102,12
1/2/2024,Miami,Boston Kreme,49,2.33,114.17,Smoothie,17,3.75,63.75,177.92,Yes,3.9,Credit Card,Morning,56,7
3/24/2024,Chicago,Glazed,54,2.52,136.08,Latte,16,3.5,56,192.08,Yes,3.6,Mobile Payment,Morning,65,11
4/1/2024,Boston,Boston Kreme,71,2.91,206.61,Iced Tea,29,2,58,264.61,Yes,3.9,Credit Card,Afternoon,83,12
2/29/2024,Chicago,Blueberry Cake,67,3.03,203.01,Espresso,38,2.75,104.5,307.51,No,4.5,Cash,Morning,80,13
3/11/2024,New York,Boston Kreme,76,2.8,212.8,Cappuccino,12,3.25,39,251.8,Yes,4.2,Credit Card,Evening,96,20
2/13/2024,Boston,Old Fashioned,65,3.39,220.35,Smoothie,31,3.75,116.25,336.6,No,4.8,Cash,Evening,76,11
1/8/2024,Miami,Powdered Sugar,49,1.05,51.45,Hot Chocolate,49,2.25,110.25,161.7,Yes,3.9,Credit Card,Afternoon,56,7
2/16/2024,Boston,Glazed,49,1.49,73.01,Iced Coffee,28,2.5,70,143.01,Yes,4.2,Mobile Payment,Morning,61,12
2/4/2024,Boston,Jelly,86,1.02,87.72,Smoothie,45,3.75,168.75,256.47,No,4.3,Cash,Morning,101,15
3/18/2024,Boston,Blueberry Cake,42,2.62,110.04,Hot Chocolate,29,2.25,65.25,175.29,No,4.2,Mobile Payment,Evening,52,10
3/21/2024,Boston,Glazed,15,3.25,48.75,Hot Coffee,17,2,34,82.75,Yes,4.4,Mobile Payment,Afternoon,16,1
2/5/2024,Chicago,Boston Kreme,97,1.61,156.17,Smoothie,12,3.75,45,201.17,No,3.5,Cash,Morning,130,33
2/19/2024,New York,Old Fashioned,28,3.32,92.96,Hot Chocolate,42,2.25,94.5,187.46,No,4,Cash,Afternoon,35,7
1/4/2024,Los Angeles,Chocolate Frosted,89,1.15,102.35,Latte,20,3.5,70,172.35,No,3.2,Mobile Payment,Morning,105,16
1/2/2024,Boston,Cinnamon,49,3.34,163.66,Smoothie,29,3.75,108.75,272.41,No,3.8,Mobile Payment,Evening,53,4
1/6/2024,Miami,Jelly,68,1.88,127.84,Smoothie,20,3.75,75,202.84,No,4,Mobile Payment,Evening,85,17
2/23/2024,Boston,Cinnamon,68,1.25,85,Iced Tea,47,2,94,179,Yes,4.3,Mobile Payment,Afternoon,84,16
1/4/2024,Miami,Glazed,57,2.21,125.97,Espresso,16,2.75,44,169.97,Yes,4.9,Cash,Evening,71,14
2/23/2024,Chicago,Old Fashioned,50,1.64,82,Iced Tea,39,2,78,160,No,4.2,Cash,Morning,65,15
4/2/2024,Miami,Old Fashioned,22,1.71,37.62,Smoothie,18,3.75,67.5,105.12,Yes,4.5,Mobile Payment,Evening,24,2
3/3/2024,Los Angeles,Boston Kreme,54,1.77,95.58,Espresso,14,2.75,38.5,134.08,Yes,4,Credit Card,Afternoon,63,9
1/18/2024,New York,Vanilla Frosted,98,3.01,294.98,Hot Chocolate,8,2.25,18,312.98,No,4.3,Credit Card,Afternoon,110,12
3/30/2024,Miami,Boston Kreme,62,2.35,145.7,Iced Coffee,9,2.5,22.5,168.2,Yes,3.1,Cash,Afternoon,78,16
2/13/2024,Miami,Vanilla Frosted,51,1.78,90.78,Iced Coffee,43,2.5,107.5,198.28,No,3.5,Mobile Payment,Morning,65,14
2/3/2024,New York,Vanilla Frosted,72,2.53,182.16,Smoothie,30,3.75,112.5,294.66,No,3.7,Mobile Payment,Morning,87,15
3/14/2024,Los Angeles,Jelly,36,2.79,100.44,Latte,22,3.5,77,177.44,Yes,3.9,Cash,Morning,41,5
3/2/2024,Boston,Boston Kreme,47,1.68,78.96,Hot Coffee,29,2,58,136.96,No,3.1,Credit Card,Morning,56,9
4/9/2024,Miami,Chocolate Frosted,69,2.03,140.07,Hot Chocolate,32,2.25,72,212.07,No,3.3,Credit Card,Morning,83,14
1/14/2024,New York,Strawberry Frosted,16,1.3,20.8,Espresso,8,2.75,22,42.8,No,3.6,Credit Card,Evening,19,3
4/4/2024,Chicago,Strawberry Frosted,14,1.45,20.3,Smoothie,46,3.75,172.5,192.8,No,4.9,Cash,Morning,17,3
2/17/2024,New York,Boston Kreme,54,2.7,145.8,Hot Chocolate,0,2.25,0,145.8,No,3.7,Credit Card,Morning,71,17
1/15/2024,Chicago,Boston Kreme,67,1.45,97.15,Smoothie,43,3.75,161.25,258.4,Yes,4,Cash,Evening,80,13
3/12/2024,Los Angeles,Cinnamon,40,2.31,92.4,Latte,34,3.5,119,211.4,Yes,3.4,Cash,Morning,46,6
3/18/2024,Boston,Jelly,32,2.77,88.64,Cappuccino,10,3.25,32.5,121.14,No,4.2,Mobile Payment,Afternoon,39,7
3/27/2024,New York,Boston Kreme,51,1.27,64.77,Cappuccino,33,3.25,107.25,172.02,No,3.6,Credit Card,Morning,66,15
3/2/2024,Miami,Cinnamon,19,2.42,45.98,Latte,15,3.5,52.5,98.48,Yes,3.4,Cash,Morning,23,4
2/9/2024,Los Angeles,Vanilla Frosted,41,1.64,67.24,Espresso,8,2.75,22,89.24,No,4,Credit Card,Afternoon,51,10
3/25/2024,New York,Old Fashioned,62,3.41,211.42,Iced Tea,31,2,62,273.42,Yes,3,Credit Card,Afternoon,74,12
3/20/2024,Miami,Old Fashioned,39,2.21,86.19,Latte,14,3.5,49,135.19,No,3,Mobile Payment,Afternoon,46,7
3/22/2024,New York,Vanilla Frosted,48,3.01,144.48,Smoothie,11,3.75,41.25,185.73,No,3.4,Credit Card,Afternoon,56,8
2/22/2024,Chicago,Blueberry Cake,40,2.38,95.2,Espresso,32,2.75,88,183.2,No,3.1,Mobile Payment,Morning,46,6
1/24/2024,New York,Cinnamon,91,1.11,101.01,Iced Coffee,44,2.5,110,211.01,No,3.2,Cash,Afternoon,102,11
1/26/2024,New York,Cinnamon,11,2.58,28.38,Latte,13,3.5,45.5,73.88,No,3.7,Credit Card,Afternoon,12,1
3/29/2024,New York,Vanilla Frosted,87,3.38,294.06,Espresso,7,2.75,19.25,313.31,No,4.6,Cash,Evening,106,19
2/29/2024,Los Angeles,Chocolate Frosted,86,2.5,215,Latte,7,3.5,24.5,239.5,No,4.1,Credit Card,Afternoon,100,14
2/10/2024,New York,Powdered Sugar,21,3.05,64.05,Latte,26,3.5,91,155.05,Yes,4,Cash,Afternoon,25,4
1/29/2024,Miami,Glazed,48,3.21,154.08,Iced Tea,11,2,22,176.08,Yes,3.6,Credit Card,Evening,61,13
1/15/2024,Chicago,Vanilla Frosted,75,1.57,117.75,Iced Tea,0,2,0,117.75,Yes,4.9,Credit Card,Evening,86,11
2/14/2024,Chicago,Boston Kreme,22,1.53,33.66,Smoothie,42,3.75,157.5,191.16,No,3.8,Credit Card,Morning,27,5
3/5/2024,New York,Boston Kreme,55,2.53,139.15,Espresso,39,2.75,107.25,246.4,No,3.2,Credit Card,Evening,68,13
3/29/2024,Los Angeles,Jelly,36,2.03,73.08,Espresso,41,2.75,112.75,185.83,No,4.2,Credit Card,Morning,43,7
3/11/2024,Los Angeles,Vanilla Frosted,26,3.1,80.6,Hot Coffee,10,2,20,100.6,No,3.2,Credit Card,Evening,29,3
1/9/2024,Miami,Jelly,69,3.25,224.25,Latte,38,3.5,133,357.25,No,3.7,Credit Card,Evening,79,10
3/28/2024,New York,Vanilla Frosted,73,1.88,137.24,Cappuccino,42,3.25,136.5,273.74,No,4,Credit Card,Morning,86,13
1/1/2024,Chicago,Cinnamon,97,1.59,154.23,Latte,30,3.5,105,259.23,No,4.7,Credit Card,Evening,124,27
1/8/2024,Los Angeles,Glazed,44,2.95,129.8,Latte,16,3.5,56,185.8,Yes,4,Cash,Morning,57,13
3/28/2024,New York,Cinnamon,79,1.69,133.51,Espresso,32,2.75,88,221.51,No,4.4,Mobile Payment,Evening,96,17
3/3/2024,Los Angeles,Powdered Sugar,92,3.06,281.52,Latte,31,3.5,108.5,390.02,Yes,5,Credit Card,Afternoon,117,25
1/11/2024,Los Angeles,Old Fashioned,39,2.06,80.34,Hot Chocolate,28,2.25,63,143.34,Yes,3.3,Mobile Payment,Evening,49,10
3/21/2024,Chicago,Strawberry Frosted,80,2.67,213.6,Latte,20,3.5,70,283.6,No,3.5,Credit Card,Morning,94,14
1/8/2024,Boston,Vanilla Frosted,83,1.24,102.92,Hot Chocolate,20,2.25,45,147.92,No,3.8,Credit Card,Evening,106,23
2/4/2024,Miami,Powdered Sugar,72,2.56,184.32,Iced Tea,39,2,78,262.32,Yes,3.8,Cash,Morning,90,18
2/4/2024,Miami,Old Fashioned,37,2.13,78.81,Cappuccino,22,3.25,71.5,150.31,Yes,3.8,Cash,Morning,48,11
2/2/2024,Chicago,Blueberry Cake,69,2.47,170.43,Smoothie,5,3.75,18.75,189.18,No,4.8,Mobile Payment,Afternoon,88,19
1/5/2024,Los Angeles,Glazed,88,1.42,124.96,Espresso,21,2.75,57.75,182.71,No,4.4,Cash,Afternoon,102,14
2/10/2024,New York,Jelly,46,2.84,130.64,Latte,49,3.5,171.5,302.14,Yes,4.2,Cash,Morning,53,7
1/28/2024,Los Angeles,Jelly,31,3.16,97.96,Hot Chocolate,37,2.25,83.25,181.21,No,3.6,Mobile Payment,Evening,35,4
1/7/2024,Chicago,Cinnamon,77,1.54,118.58,Hot Chocolate,36,2.25,81,199.58,No,4.6,Cash,Morning,95,18
3/13/2024,Miami,Boston Kreme,29,1.24,35.96,Iced Tea,44,2,88,123.96,No,4.9,Credit Card,Morning,38,9
3/12/2024,Los Angeles,Old Fashioned,77,1.06,81.62,Hot Chocolate,7,2.25,15.75,97.37,Yes,4.6,Mobile Payment,Evening,97,20
1/12/2024,Miami,Blueberry Cake,73,2.6,189.8,Smoothie,40,3.75,150,339.8,Yes,3,Mobile Payment,Evening,80,7
2/3/2024,New York,Powdered Sugar,26,2.52,65.52,Iced Coffee,48,2.5,120,185.52,Yes,4.3,Credit Card,Evening,31,5
2/2/2024,Miami,Glazed,21,2.37,49.77,Hot Coffee,34,2,68,117.77,No,3.1,Cash,Evening,24,3
2/17/2024,Miami,Old Fashioned,31,1.58,48.98,Smoothie,10,3.75,37.5,86.48,No,3.5,Mobile Payment,Morning,37,6
1/23/2024,Boston,Blueberry Cake,26,1.98,51.48,Cappuccino,23,3.25,74.75,126.23,Yes,3.1,Mobile Payment,Morning,30,4
3/2/2024,Boston,Strawberry Frosted,19,2.49,47.31,Smoothie,48,3.75,180,227.31,Yes,4.2,Credit Card,Afternoon,22,3
3/28/2024,Boston,Vanilla Frosted,74,2.24,165.76,Iced Tea,20,2,40,205.76,Yes,4.4,Credit Card,Morning,99,25
2/6/2024,Miami,Jelly,31,3.47,107.57,Iced Tea,1,2,2,109.57,No,3.2,Cash,Evening,36,5
4/8/2024,Chicago,Powdered Sugar,99,1.34,132.66,Smoothie,39,3.75,146.25,278.91,Yes,3.8,Mobile Payment,Afternoon,119,20
2/13/2024,Miami,Jelly,91,2.74,249.34,Latte,18,3.5,63,312.34,Yes,3.9,Cash,Evening,112,21
3/26/2024,Chicago,Powdered Sugar,59,2.01,118.59,Iced Coffee,38,2.5,95,213.59,No,3.7,Cash,Morning,72,13
3/31/2024,Chicago,Cinnamon,23,2.07,47.61,Latte,27,3.5,94.5,142.11,No,3.2,Credit Card,Afternoon,29,6
2/4/2024,Boston,Boston Kreme,73,2.79,203.67,Latte,16,3.5,56,259.67,No,3.8,Mobile Payment,Evening,94,21
3/5/2024,Los Angeles,Powdered Sugar,56,2.73,152.88,Smoothie,5,3.75,18.75,171.63,Yes,4.5,Mobile Payment,Afternoon,64,8
4/8/2024,New York,Jelly,38,3.48,132.24,Espresso,18,2.75,49.5,181.74,No,3.1,Mobile Payment,Afternoon,45,7
2/16/2024,Boston,Cinnamon,85,1.32,112.2,Espresso,37,2.75,101.75,213.95,No,3.2,Credit Card,Morning,102,17
3/18/2024,Boston,Powdered Sugar,45,1.26,56.7,Espresso,27,2.75,74.25,130.95,Yes,3.7,Credit Card,Evening,52,7
1/3/2024,Los Angeles,Strawberry Frosted,61,2.81,171.41,Iced Coffee,1,2.5,2.5,173.91,No,4.9,Credit Card,Afternoon,67,6
1/1/2024,New York,Boston Kreme,85,2.45,208.25,Latte,37,3.5,129.5,337.75,Yes,4.3,Credit Card,Afternoon,103,18
1/5/2024,Miami,Powdered Sugar,16,1.69,27.04,Hot Coffee,36,2,72,99.04,Yes,4.4,Credit Card,Evening,19,3
3/30/2024,Miami,Cinnamon,38,1.2,45.6,Cappuccino,3,3.25,9.75,55.35,No,3.7,Mobile Payment,Afternoon,42,4
1/14/2024,Boston,Old Fashioned,20,1.21,24.2,Espresso,21,2.75,57.75,81.95,No,4.2,Cash,Afternoon,23,3
1/27/2024,New York,Chocolate Frosted,42,3.24,136.08,Espresso,25,2.75,68.75,204.83,No,3,Mobile Payment,Afternoon,53,11
1/9/2024,Boston,Blueberry Cake,15,1.48,22.2,Iced Tea,48,2,96,118.2,No,4.3,Cash,Evening,17,2
3/19/2024,Chicago,Chocolate Frosted,88,1.81,159.28,Latte,42,3.5,147,306.28,No,4.8,Credit Card,Evening,99,11
1/15/2024,Boston,Chocolate Frosted,41,1.57,64.37,Latte,35,3.5,122.5,186.87,No,4.2,Cash,Evening,49,8
3/30/2024,Boston,Glazed,60,1.89,113.4,Iced Coffee,12,2.5,30,143.4,Yes,4.7,Mobile Payment,Evening,77,17
2/11/2024,Miami,Strawberry Frosted,84,1.17,98.28,Iced Coffee,31,2.5,77.5,175.78,Yes,4.4,Mobile Payment,Morning,100,16
3/17/2024,Miami,Old Fashioned,67,2.3,154.1,Espresso,16,2.75,44,198.1,No,3.2,Cash,Afternoon,82,15
2/20/2024,Miami,Vanilla Frosted,96,1.17,112.32,Latte,40,3.5,140,252.32,Yes,4.8,Credit Card,Evening,120,24
3/3/2024,Chicago,Powdered Sugar,35,3,105,Hot Coffee,35,2,70,175,No,3.1,Credit Card,Afternoon,40,5
4/5/2024,Miami,Blueberry Cake,55,1.58,86.9,Cappuccino,45,3.25,146.25,233.15,Yes,4.1,Mobile Payment,Afternoon,68,13
2/21/2024,New York,Boston Kreme,38,2.35,89.3,Smoothie,18,3.75,67.5,156.8,Yes,3.3,Cash,Morning,46,8
4/5/2024,Los Angeles,Old Fashioned,13,3.2,41.6,Latte,34,3.5,119,160.6,Yes,3,Credit Card,Evening,15,2
1/4/2024,New York,Jelly,90,2.63,236.7,Iced Tea,45,2,90,326.7,No,3.8,Credit Card,Evening,110,20
4/3/2024,New York,Vanilla Frosted,22,2.33,51.26,Smoothie,39,3.75,146.25,197.51,Yes,3.6,Mobile Payment,Afternoon,26,4
1/23/2024,Miami,Glazed,48,1.81,86.88,Latte,27,3.5,94.5,181.38,No,4,Credit Card,Evening,53,5
1/15/2024,Los Angeles,Glazed,24,1.83,43.92,Hot Chocolate,0,2.25,0,43.92,Yes,4.2,Cash,Afternoon,30,6
2/12/2024,Los Angeles,Old Fashioned,38,2.67,101.46,Iced Coffee,41,2.5,102.5,203.96,Yes,3.1,Mobile Payment,Afternoon,44,6
1/29/2024,Los Angeles,Cinnamon,38,3.49,132.62,Iced Tea,17,2,34,166.62,Yes,3.2,Mobile Payment,Morning,45,7
2/5/2024,Chicago,Chocolate Frosted,84,2.65,222.6,Cappuccino,47,3.25,152.75,375.35,Yes,4.1,Cash,Morning,97,13
1/13/2024,Miami,Jelly,41,2.39,97.99,Espresso,39,2.75,107.25,205.24,Yes,3.7,Mobile Payment,Morning,51,10
2/1/2024,Los Angeles,Glazed,11,2.83,31.13,Iced Tea,32,2,64,95.13,No,4.5,Credit Card,Afternoon,13,2
3/11/2024,Chicago,Blueberry Cake,56,2.16,120.96,Latte,11,3.5,38.5,159.46,No,4.3,Credit Card,Evening,61,5
2/28/2024,Boston,Glazed,87,1.15,100.05,Espresso,7,2.75,19.25,119.3,Yes,4.7,Cash,Morning,108,21
3/26/2024,Boston,Boston Kreme,93,2.41,224.13,Latte,23,3.5,80.5,304.63,Yes,4.4,Credit Card,Evening,106,13
1/28/2024,Chicago,Powdered Sugar,31,3.39,105.09,Espresso,15,2.75,41.25,146.34,Yes,3.9,Cash,Morning,39,8
3/6/2024,Chicago,Glazed,84,1.44,120.96,Cappuccino,49,3.25,159.25,280.21,Yes,4.3,Cash,Morning,99,15
2/11/2024,Miami,Boston Kreme,36,2.73,98.28,Iced Coffee,3,2.5,7.5,105.78,No,3.6,Credit Card,Afternoon,44,8
2/14/2024,Miami,Old Fashioned,76,1.5,114,Cappuccino,37,3.25,120.25,234.25,Yes,3.6,Cash,Morning,93,17
3/2/2024,Boston,Old Fashioned,90,2.34,210.6,Hot Chocolate,43,2.25,96.75,307.35,No,4.6,Credit Card,Morning,120,30
2/26/2024,Los Angeles,Vanilla Frosted,65,1.24,80.6,Hot Coffee,26,2,52,132.6,Yes,3.9,Mobile Payment,Afternoon,73,8
1/6/2024,Boston,Glazed,30,2.13,63.9,Iced Coffee,8,2.5,20,83.9,No,4.6,Mobile Payment,Evening,35,5
1/28/2024,Los Angeles,Blueberry Cake,56,2.89,161.84,Cappuccino,46,3.25,149.5,311.34,Yes,4.6,Cash,Morning,65,9
1/28/2024,Los Angeles,Glazed,89,1.87,166.43,Hot Chocolate,15,2.25,33.75,200.18,Yes,4.7,Credit Card,Afternoon,114,25
2/13/2024,Miami,Blueberry Cake,68,2.66,180.88,Hot Coffee,11,2,22,202.88,No,4.8,Credit Card,Morning,90,22
3/24/2024,New York,Strawberry Frosted,93,2.99,278.07,Hot Chocolate,30,2.25,67.5,345.57,Yes,3.9,Mobile Payment,Afternoon,107,14
1/30/2024,New York,Vanilla Frosted,15,3.32,49.8,Latte,23,3.5,80.5,130.3,Yes,3.6,Mobile Payment,Evening,18,3
3/2/2024,Chicago,Strawberry Frosted,28,1.59,44.52,Smoothie,13,3.75,48.75,93.27,Yes,4.2,Credit Card,Evening,35,7
3/15/2024,Miami,Glazed,66,2,132,Latte,44,3.5,154,286,No,3.7,Cash,Afternoon,79,13
4/1/2024,Los Angeles,Vanilla Frosted,78,1.38,107.64,Espresso,24,2.75,66,173.64,Yes,4.2,Mobile Payment,Afternoon,94,16
3/29/2024,New York,Strawberry Frosted,12,3.48,41.76,Iced Coffee,33,2.5,82.5,124.26,Yes,4.4,Cash,Afternoon,13,1
3/2/2024,Los Angeles,Chocolate Frosted,10,3.32,33.2,Latte,2,3.5,7,40.2,No,4.4,Cash,Evening,11,1
4/6/2024,New York,Glazed,67,2.35,157.45,Iced Tea,23,2,46,203.45,No,3.7,Mobile Payment,Morning,89,22
1/1/2024,New York,Strawberry Frosted,47,3.11,146.17,Hot Chocolate,41,2.25,92.25,238.42,No,3.3,Cash,Evening,60,13
1/27/2024,New York,Chocolate Frosted,24,2.3,55.2,Iced Coffee,8,2.5,20,75.2,Yes,3.9,Cash,Afternoon,29,5
3/2/2024,Miami,Chocolate Frosted,43,2.56,110.08,Smoothie,25,3.75,93.75,203.83,Yes,3.3,Credit Card,Afternoon,50,7
3/17/2024,Boston,Old Fashioned,70,1.22,85.4,Iced Tea,19,2,38,123.4,Yes,4.8,Cash,Evening,81,11
